X,Y,OBJECTID,ADDRESS,LOT_SIZE,PRMT_NR,MUP_APNO,STGLSTTITL,APTYPE,NEW,DEMO,NET_UNITS,SLEEPING_ROOMS,VALUE,TYPE_OCC,DWELTYPE,COMMENTS,APP_DATE,ISS_DATE,YEAR_ISSUED,FINAL_DATE,YEAR_FINAL,VILLNUMB,NAME,TYPE_NAME,COMP_PLAN_NAME,COMP_PLAN_TYPE,CRA_NO,CRA,NEIGHBORHOOD,C_DISTRICT,TRBL2010,TRBG2010,GEOID10,SOURCE,XCOORD,YCOORD,MAF_ID,DEVSITE_ID,RECORDNUMBER,STATUS_COLOR,LONGITUDE,LATITUDE,EXPIRE_DATE,ZONING_FULL,ZONING_PRIMARY,ZONING_REPORT,CATEGORY,CLASS,CONSTR_PRMT_PARENT,GEOID20,TRBL2020,TRBG2020,Q_ISSUED,Q_Y_ISSUED,Q_FINAL,Q_Y_FINAL,CONDO_Y_N
-122.320752345,47.7036837580001,55,10317 8TH AVE NE,5583,6710787,,Permit Finaled,Construction Permit,1,0,1,0,353538,ADU,"Accessory Dwelling, Attached","Construct addition and substantial alterations to existing single family residence and create ADU in basement, per plan.",2019/02/28 00:00:00+00,2019/06/05 00:00:00+00,2019,2020/06/03 00:00:00+00,2020,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,8.1000004,Northgate/Maple Leaf,North,5,1200.2002,1200.2,530330012002002,ACC,1274200.838,260221.272,42766,DV0034327,6710787-CN,#001a73,-122.32076697,47.70368958,2020/12/05 00:00:00+00,SF 5000,SF 5000,SF 5000,SF 5000,SF,,530330012023002,1202.3002,1202.3,2,2019_2,2,2020_2,N
-122.336004039,47.704128209,57,10329 WALLINGFORD AVE N,9239,6361924,,Permit Finaled,Construction Permit,1,0,1,0,10000,ADU,"Accessory Dwelling, Attached","Establish accessory dwelling unit in basement of existing single-family residence, per plan.",2017/12/14 00:00:00+00,2019/07/01 00:00:00+00,2019,2019/08/14 00:00:00+00,2019,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,9.1999998,Licton Springs,Northwest,5,1300.1009,1300.1,530330013001009,ACC,1270449.375,260456.3125,42097,DV0085053,6361924-CN,#001a73,-122.33601867,47.70413403,2021/01/01 00:00:00+00,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330013001008,1300.1008,1300.1,3,2019_3,3,2019_3,N
-122.316079975,47.695655087,59,1035 NE 92ND ST,7574,6784259,,Permit Finaled,Construction Permit,1,0,1,0,27432,ADU,"Accessory Dwelling, Attached","Construct alterations to create attached accessory dwelling unit [AADU], per plan.",2020/07/01 00:00:00+00,2020/09/18 00:00:00+00,2020,2021/09/22 00:00:00+00,2021,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,8.1000004,Northgate/Maple Leaf,North,5,2000.3003,2000.3,530330020003003,ACC,1275294.652,257271.027,51074,DV1186063,6784259-CN,#001a73,-122.3160946,47.69566091,2022/03/18 00:00:00+00,SF 5000,SF 5000,SF 5000,SF 5000,SF,,530330020003003,2000.3003,2000.3,3,2020_3,3,2021_3,N
-122.238650693,47.5100313340001,62,10367 RAINIER AVE S,13398,6355419,,Permit Finaled,Construction Permit,1,0,1,0,12000,ADU,"Accessory Dwelling, Attached","Construct alterations, for new accessory dwelling unit in basement of existing single family residence, per plans.",2014/02/05 00:00:00+00,2014/04/28 00:00:00+00,2014,2014/09/23 00:00:00+00,2014,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,4.0999999,Rainier Beach,Southeast,2,11900.1028,11900.1,530330119001028,ACC,1293122.83,189215.44,206604,DV0080674,6355419-CN,#001a73,-122.23866526,47.51003715,2015/10/28 00:00:00+00,SINGLE FAMILY 5000,SF 5000,SF 5000,SF 5000,SF,,530330119022024,11902.2024,11902.2,2,2014_2,3,2014_3,N
-122.318385557,47.5262804160001,73,1043 S CLOVERDALE ST,6593,6784587,,Permit Finaled,Construction Permit,1,0,1,0,200000,ADU,"Accessory Dwelling, Attached","Construct attached accessory dwelling unit (AADU) to existing single family residence, per plan.",2020/08/12 00:00:00+00,2020/12/31 00:00:00+00,2020,2021/09/13 00:00:00+00,2021,128,South Park,Residential Urban Village,South Park,Residential Urban Villages,3.0999999,South Park,Greater Duwamish,1,11200.3007,11200.3,530330112003007,ACC,1273534.83,195511.47,194233,DV1140725,6784587-CN,#001a73,-122.31840014,47.52628623,2022/06/30 00:00:00+00,LR2 (M),LR2 (M),LR2 (M),LR2,L,,530330112003005,11200.3005,11200.3,4,2020_4,3,2021_3,N
-122.376668346,47.5086983090001,76,10447 35TH AVE SW,7627,6755521,,Permit Finaled,Construction Permit,1,0,1,0,15000,ADU,"Accessory Dwelling, Attached","Construct alterations to create an attached accessory dwelling unit (AADU) in the basement of existing single family residence, per plan.",2019/12/02 00:00:00+00,2020/01/08 00:00:00+00,2020,2020/05/06 00:00:00+00,2020,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,1.1,Arbor Heights,Southwest,1,12000.2018,12000.2,530330120002018,ACC,1259009.3651,189382.7319,207259,DV0042274,6755521-CN,#001a73,-122.37668294,47.50870411,2021/07/08 00:00:00+00,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330120002017,12000.2017,12000.2,1,2020_1,2,2020_2,N
-122.356795741,47.6553925860001,78,105 N 40TH ST,10787,6632797,,Permit Finaled,Construction Permit,1,0,1,0,715598,ADU,"Accessory Dwelling, Attached","Establish use as and construct a single family residence with an attached accessory dwelling unit, per plan.",2018/06/11 00:00:00+00,2019/07/12 00:00:00+00,2019,2022/03/24 00:00:00+00,2022,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,11.1,Fremont,Lake Union,6,4800.3038,4800.3,530330048003038,ACC,1264979.088,242783.344,89551,DV0046553,6632797-CN,#001a73,-122.35681036,47.6553984,2022/07/12 00:00:00+00,SF 5000,SF 5000,SF 5000,SF 5000,SF,,530330048003019,4800.3019,4800.3,3,2019_3,1,2022_1,N
-122.302629975,47.7048987900001,79,10502 VICTORY LN NE,6333,6074663,,Permit Finaled,Construction Permit,1,0,1,0,5000,ADU,"Accessory Dwelling, Attached",Create ADU in existing structuresingle family residence and alter basement for ADU per plan.,2005/10/26 00:00:00+00,2005/10/26 00:00:00+00,2005,2006/02/09 00:00:00+00,2006,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,8.1999998,Olympic Hills/Victory Heights,North,5,1100.1016,1100.1,530330011001016,ACC,1278670.643,260578.68,37637,DV0066853,6074663-CN,#001a73,-122.3026446,47.70490461,2007/04/26 00:00:00+00,SINGLE FAMILY 7200,SF 7200,SF 7200,SF 7200,SF,,530330011001016,1100.1016,1100.1,4,2005_4,1,2006_1,N
-122.28576725,47.7094703280001,84,11039 40TH AVE NE,9490,6094308,,Permit Finaled,Construction Permit,1,0,1,0,49194,ADU,"Accessory Dwelling, Attached","CONST BSMT ADDTN W/ ROOF DECK AND EXT CANOPY FOR CONVERT BSMT TO ACCESSORY DWELLING UNIT, PER PLANS",2004/08/30 00:00:00+00,2004/10/19 00:00:00+00,2004,2006/04/25 00:00:00+00,2006,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,8.3000002,Cedar Park/Meadowbrook,North,5,800.2008,800.2,530330008002008,ACC,1282853.28,262167.116,38259,DV0027470,6094308-CN,#001a73,-122.28578187,47.70947615,2007/10/19 00:00:00+00,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330008002015,800.2015,800.2,4,2004_4,2,2006_2,N
-122.381283241,47.5033098430001,86,11045 MARINE VIEW DR SW,7381,6174952,,Permit Finaled,Construction Permit,1,0,1,0,3000,ADU,"Accessory Dwelling, Attached","Build out attached accessory dwelling unit in basement of existing single family residence, per plan (to resolve case # 1015266).",2008/12/12 00:00:00+00,2009/02/03 00:00:00+00,2009,2010/02/10 00:00:00+00,2010,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,1.1,Arbor Heights,Southwest,1,12100.2015,12100.2,530330121002015,ACC,1257829.498,187440.512,207224,DV0074160,6174952-CN,#001a73,-122.38129783,47.50331565,2010/08/03 00:00:00+00,SINGLE FAMILY 7200,SF 7200,SF 7200,SF 7200,SF,,530330121002016,12100.2016,12100.2,1,2009_1,1,2010_1,N
-122.289109917,47.6185374770001,93,111 34TH AVE E,5503,6655899,,Permit Finaled,Construction Permit,1,0,1,0,237000,ADU,"Accessory Dwelling, Attached","Construct 2nd story addition, substantial alterations and an accessory dwelling unit (ADU) in an existing single-family residence, per plans",2018/06/18 00:00:00+00,2018/08/21 00:00:00+00,2018,2019/05/02 00:00:00+00,2019,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,5.0999999,Madrona/Leschi,Central,3,7800.4010,7800.4,530330078004010,ACC,1281403.054,229019.404,746939,DV0007308,6655899-CN,#001a73,-122.28912452,47.6185433,2020/02/21 00:00:00+00,SF 5000,SF 5000,SF 5000,SF 5000,SF,,530330078004010,7800.4010,7800.4,3,2018_3,2,2019_2,N
-122.342125779,47.684233442,96,1152 N 76TH ST,3969,6201073,,Permit Finaled,Construction Permit,1,0,1,0,83163,ADU,"Accessory Dwelling, Attached","Construct seismic upgrades to cripple walls in a single family residence, construct basement alterations for new basement Accessory Dwelling Unit and construct wall for access to basement storage room, all per plan.",2008/12/08 00:00:00+00,2008/12/31 00:00:00+00,2008,2009/09/10 00:00:00+00,2009,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,9.3999996,Green Lake,Northwest,6,2700.4024,2700.4,530330027004024,ACC,1268800.087,253230.258,60570,DV0075071,6201073-CN,#001a73,-122.3421404,47.68423926,2010/06/30 00:00:00+00,SINGLE FAMILY 5000,SF 5000,SF 5000,SF 5000,SF,,530330027004023,2700.4023,2700.4,4,2008_4,3,2009_3,N
-122.361899209,47.71333673,97,11532 4TH AVE NW,7201,6202202,,Permit Finaled,Construction Permit,1,0,1,0,2500,ADU,"Accessory Dwelling, Attached","Alterations to establish accessory dwelling unit to existing single family residence, per plan.",2008/12/10 00:00:00+00,2008/12/17 00:00:00+00,2008,2009/05/01 00:00:00+00,2009,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,9.1000004,Broadview/Bitter Lake,Northwest,5,500.3015,500.3,530330005003015,ACC,1264141.361,263940.173,30428,DV0075103,6202202-CN,#001a73,-122.36191384,47.71334255,2010/06/17 00:00:00+00,SINGLE FAMILY 7200,SF 7200,SF 7200,SF 7200,SF,,530330005002027,500.2027,500.2,4,2008_4,2,2009_2,N
-122.35714572,47.6852717830001,101,117 N 78TH ST,4565,6086152,,Permit Finaled,Construction Permit,1,0,1,0,65000,ADU,"Accessory Dwelling, Attached",    Minor interior alterations to create basement accessory dwelling unit (ADU) in existing single family residence per plan.,2006/01/31 00:00:00+00,2006/01/31 00:00:00+00,2006,2012/03/28 00:00:00+00,2012,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,9.3000002,Greenwood/Phinney Ridge,Northwest,6,2900.2003,2900.2,530330029002003,ACC,1265108.646,253681.826,58338,DV0067789,6086152-CN,#001a73,-122.35716035,47.6852776,2007/07/31 00:00:00+00,SINGLE FAMILY 5000,SF 5000,SF 5000,SF 5000,SF,,530330029002003,2900.2003,2900.2,1,2006_1,1,2012_1,N
-122.373099665,47.5087706570001,108,10508 32ND AVE SW,6975,6755547,,Permit Finaled,Construction Permit,1,0,1,0,27000,ADU,"Accessory Dwelling, Attached","Construct alterations to create attached accessory dwelling unit at basement level of existing single family residence, per plan.",2019/11/15 00:00:00+00,2019/12/26 00:00:00+00,2019,2020/02/10 00:00:00+00,2020,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,1.1,Arbor Heights,Southwest,1,12000.2001,12000.2,530330120002001,ACC,1259891.71,189391.45,207330,DV1214870,6755547-CN,#001a73,-122.37311426,47.50877646,2021/06/26 00:00:00+00,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330120002000,12000.2000,12000.2,4,2019_4,1,2020_1,N
-122.386383096,47.506339101,118,10661 MARINE VIEW DR SW,9612,6105708,,Permit Finaled,Construction Permit,1,0,1,0,214000,ADU,"Accessory Dwelling, Attached","Garage reconstruction, second story addition and interior alterations to existing single family residence, per plan and establish an existing Accessory Dwelling Unit for the record.",2008/06/24 00:00:00+00,2008/10/24 00:00:00+00,2008,2010/06/24 00:00:00+00,2010,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,1.1,Arbor Heights,Southwest,1,12100.1020,12100.1,530330121001020,ACC,1256591.5,188570.65,207001,DV0070939,6105708-CN,#001a73,-122.38639769,47.50634491,2010/04/24 00:00:00+00,SINGLE FAMILY 7200,SF 7200,SF 7200,SF 7200,SF,,530330121001018,12100.1018,12100.1,4,2008_4,2,2010_2,N
-122.289722583,47.718644764,130,12345 36TH AVE NE,12899,6748743,,Permit Finaled,Construction Permit,1,0,1,0,30000,ADU,"Accessory Dwelling, Attached","Construct alterations to convert dining room into bedroom on main level, create attached accessory dwelling unit at basement level of existing single family residence and add a exterior deck extension to existing deck, per plan",2019/12/18 00:00:00+00,2020/01/15 00:00:00+00,2020,2020/07/13 00:00:00+00,2020,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,8.3000002,Cedar Park/Meadowbrook,North,5,800.1005,800.1,530330008001005,ACC,1281942.992,265531.447,33630,DV1173556,6748743-CN,#001a73,-122.28973721,47.71865059,2021/07/15 00:00:00+00,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330008001004,800.1004,800.1,1,2020_1,3,2020_3,N
-122.296251566,47.60244113,131,125 28TH AVE,6128,6626327,,Permit Finaled,Construction Permit,1,0,1,0,60000,ADU,"Accessory Dwelling, Attached","Construct alterations and an accessory dwelling unit in an existing single family residence, per plans.",2018/03/16 00:00:00+00,2018/06/09 00:00:00+00,2018,2019/10/16 00:00:00+00,2019,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,5.3000002,Central Area/Squire Park,Central,3,8800.3016,8800.3,530330088003016,ACC,1279530.435,223182.476,145732,DV0094859,6626327-CN,#001a73,-122.29626616,47.60244695,2019/12/09 00:00:00+00,SF 5000,SF 5000,SF 5000,SF 5000,SF,,530330088003016,8800.3016,8800.3,2,2018_2,4,2019_4,N
-122.349224045,47.7197498830001,133,12504 NORTH PARK AVE N,6266,6180993,,Permit Finaled,Construction Permit,1,0,1,0,50000,ADU,"Accessory Dwelling, Attached",Construct side entry porch and interior alterations and establish ADU in basement of existing single family residence per plan,2008/11/26 00:00:00+00,2008/12/30 00:00:00+00,2008,2009/10/28 00:00:00+00,2009,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,9.1000004,Broadview/Bitter Lake,Northwest,5,402.2004,402.2,530330004022004,ACC,1267307.18,266217.306,26917,DV0075056,6180993-CN,#001a73,-122.34923868,47.7197557,2010/06/30 00:00:00+00,SINGLE FAMILY 7200,SF 7200,SF 7200,SF 7200,SF,,530330004022002,402.2002,402.2,4,2008_4,4,2009_4,N
-122.315613565,47.7082403800001,138,10838 11TH AVE NE,6156,6786486,,Permit Finaled,Construction Permit,1,0,1,0,50000,ADU,"Accessory Dwelling, Attached","Construct alterations to convert basement to attached accessory dwelling unit (AADU) in existing single family residence, per plan",2020/08/12 00:00:00+00,2020/10/07 00:00:00+00,2020,2021/11/10 00:00:00+00,2021,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,8.1000004,Northgate/Maple Leaf,North,5,1200.1010,1200.1,530330012001010,ACC,1275497.907,261858.655,36894,DV1117702,6786486-CN,#001a73,-122.31562819,47.7082462,2022/04/07 00:00:00+00,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330012021009,1202.1009,1202.1,4,2020_4,4,2021_4,N
-122.360266645,47.6823005100001,152,153 NW 74TH ST,3996,6613192,,Permit Finaled,Construction Permit,1,0,1,0,415487,ADU,"Accessory Dwelling, Attached","Establish use and construct a single family dwelling with accessory dwelling unit (ADU) and attached garage, per plan.",2017/12/12 00:00:00+00,2018/08/30 00:00:00+00,2018,2019/07/25 00:00:00+00,2019,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,9.3000002,Greenwood/Phinney Ridge,Northwest,6,2900.2010,2900.2,530330029002010,ACC,1264318.574,252613.456,67366,DV0094231,6613192-CN,#001a73,-122.36028127,47.68230633,2020/02/29 00:00:00+00,SF 5000,SF 5000,SF 5000,SF 5000,SF,,530330029002010,2900.2010,2900.2,3,2018_3,3,2019_3,N
-122.330752128,47.7129575020001,165,2311 N 116TH ST,10819,6600461,,Permit Finaled,Construction Permit,1,0,1,0,120678,ADU,"Accessory Dwelling, Attached","Construct addition to portion of an existing single-family residence and an accessory dwelling unit, per plans.",2017/11/19 00:00:00+00,2018/08/07 00:00:00+00,2018,2021/02/17 00:00:00+00,2021,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,9.5,Haller Lake,Northwest,5,600.4013,600.4,530330006004013,ACC,1271804.929,263651.129,31668,DV0057202,6600461-CN,#001a73,-122.33076676,47.71296332,2020/02/07 00:00:00+00,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330006012007,601.2007,601.2,3,2018_3,1,2021_1,N
-122.327768478,47.6698930310001,171,109 NE 57TH ST,6117,6089983,,Permit Finaled,Construction Permit,1,0,1,0,65000,ADU,"Accessory Dwelling, Attached",Alter basement of single family residence and establish accessory dwelling unit per plan,2006/03/16 00:00:00+00,2006/03/16 00:00:00+00,2006,2006/09/20 00:00:00+00,2006,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,11.2,Wallingford,Lake Union,6,4500.2009,4500.2,530330045002009,ACC,1272234.28,247931.35,77960,DV0068115,6089983-CN,#001a73,-122.3277831,47.66989885,2007/09/16 00:00:00+00,SINGLE FAMILY 5000,SF 5000,SF 5000,SF 5000,SF,,530330045002010,4500.2010,4500.2,1,2006_1,3,2006_3,N
-122.361126372,47.7091621770001,174,11011 3RD AVE NW,6001,6807203,,Permit Finaled,Construction Permit,1,0,1,0,28107,ADU,"Accessory Dwelling, Attached","Establish use as and construct alterations to create accessory dwelling unit (AADU) in basement of existing single family residence, per plan.",2020/11/11 00:00:00+00,2020/12/10 00:00:00+00,2020,2021/07/15 00:00:00+00,2021,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,9.1000004,Broadview/Bitter Lake,Northwest,5,500.3018,500.3,530330005003018,ACC,1264301.351,262413.958,34913,DV0017450,6807203-CN,#001a73,-122.36114101,47.709168,2022/06/10 00:00:00+00,SF 9600,SF 9600,SF 9600,SF 9600,SF,,530330005002030,500.2030,500.2,4,2020_4,3,2021_3,N
-122.352528705,47.7091789660001,177,11014 DAYTON AVE N,7587,6769044,,Permit Finaled,Construction Permit,1,0,1,0,545294,ADU,"Accessory Dwelling, Attached","Establish use as and construct new single family residence with attached garage and accessory dwelling unit (AADU), per plan.",2020/06/05 00:00:00+00,2020/09/21 00:00:00+00,2020,2021/06/14 00:00:00+00,2021,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,10.1,North Beach/Blue Ridge,Ballard,5,1400.1010,1400.1,530330014001010,ACC,1266417.788,262378.179,35361,DV1116457,6769044-CN,#001a73,-122.35254334,47.70918478,2022/03/21 00:00:00+00,SF 5000,SF 5000,SF 5000,SF 5000,SF,,530330014001007,1400.1007,1400.1,3,2020_3,2,2021_2,N
