X,Y,OBJECTID,ADDRESS,LOT_SIZE,PRMT_NR,MUP_APNO,STGLSTTITL,APTYPE,NEW,DEMO,NET_UNITS,SLEEPING_ROOMS,VALUE,TYPE_OCC,DWELTYPE,COMMENTS,APP_DATE,ISS_DATE,YEAR_ISSUED,FINAL_DATE,YEAR_FINAL,VILLNUMB,NAME,TYPE_NAME,COMP_PLAN_NAME,COMP_PLAN_TYPE,CRA_NO,CRA,NEIGHBORHOOD,C_DISTRICT,TRBL2010,TRBG2010,GEOID10,SOURCE,XCOORD,YCOORD,MAF_ID,DEVSITE_ID,RECORDNUMBER,STATUS_COLOR,LONGITUDE,LATITUDE,EXPIRE_DATE,ZONING_FULL,ZONING_PRIMARY,ZONING_REPORT,CATEGORY,CLASS,CONSTR_PRMT_PARENT,GEOID20,TRBL2020,TRBG2020,Q_ISSUED,Q_Y_ISSUED,Q_FINAL,Q_Y_FINAL,CONDO_Y_N,INSPECTION_DATE,INSPECTION_TYPE
-122.348706762,47.714823348,42,11720 NORTH PARK AVE N,6718,6583176,,Permit Finaled,Construction Permit,1,0,1,0,20000,DADU,"Accessory Dwelling, Detached","Construct alterations to convert existing garage into a Detached Accessory Dwelling Unit (DADU) accessory to single-family residence, per plan.",2018/11/20 00:00:00+00,2019/04/23 00:00:00+00,2019,2020/01/31 00:00:00+00,2020,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,9.1000004,Broadview/Bitter Lake,Northwest,5,402.2011,402.2,530330004022011,ACC,1267399.1,264418.111,30829,DV0063554,6583176-CN,#001a73,-122.34872139,47.71482917,2020/10/23 00:00:00+00,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330004022015,402.2015,402.2,2,2019_2,1,2020_1,N,2020/01/31 00:00:00+00,Building Final
-122.331696531,47.714752192,43,11721 CORLISS AVE N,7467,6679465,,Permit Finaled,Construction Permit,1,0,1,0,23995,DADU,"Accessory Dwelling, Detached","Construct substantial alterations and additions to convert existing accessory structure to DADU, per plan.",2019/02/26 00:00:00+00,2019/05/21 00:00:00+00,2019,2020/11/24 00:00:00+00,2020,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,9.5,Haller Lake,Northwest,5,600.4004,600.4,530330006004004,ACC,1271585.225,264310.173,31563,DV1115599,6679465-CN,#001a73,-122.33171116,47.71475801,2020/11/21 00:00:00+00,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330006012013,601.2013,601.2,2,2019_2,4,2020_4,N,2020/11/24 00:00:00+00,Building Final
-122.35984981,47.714859662,44,11723 2ND AVE NW,7748,6753471,,Permit Finaled,Construction Permit,1,0,1,0,123873,DADU,"Accessory Dwelling, Detached","Construct a detached accessory dwelling unit (DADU), per plans,",2019/12/18 00:00:00+00,2020/02/23 00:00:00+00,2020,2021/06/02 00:00:00+00,2021,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,9.1000004,Broadview/Bitter Lake,Northwest,5,402.3008,402.3,530330004023008,ACC,1264656.798,264485.565,30306,DV0018793,6753471-CN,#001a73,-122.35986444,47.71486548,2021/08/23 00:00:00+00,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330004023007,402.3007,402.3,1,2020_1,2,2021_2,N,2021/06/02 00:00:00+00,Building Final
-122.288906455,47.7145459710001,45,11726 36TH AVE NE,10448,6639490,,Permit Finaled,Construction Permit,1,0,1,0,97155,DADU,"Accessory Dwelling, Detached","Construct a detached accessory dwelling unit for a single family residence, per plan.",2018/07/25 00:00:00+00,2019/07/08 00:00:00+00,2019,2020/09/25 00:00:00+00,2020,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,8.3000002,Cedar Park/Meadowbrook,North,5,800.1014,800.1,530330008001014,ACC,1282115.572,264032.811,33976,DV0095042,6639490-CN,#001a73,-122.28892108,47.7145518,2021/01/08 00:00:00+00,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330008001014,800.1014,800.1,3,2019_3,3,2020_3,N,2020/09/25 00:00:00+00,Building Final
-122.315486542,47.6983577890001,47,1051 NE 96TH ST,6930,6823311,,Permit Finaled,Construction Permit,1,0,1,0,220000,DADU,"Accessory Dwelling, Detached",Construct a detached accessory dwelling unit per standard plan 6794017-SP at Single Family Residence,2021/02/23 00:00:00+00,2021/04/04 00:00:00+00,2021,2022/05/17 00:00:00+00,2022,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,8.1000004,Northgate/Maple Leaf,North,5,2000.2010,2000.2,530330020002010,ACC,1275459.751,258253.884,43374,DV1212259,6823311-CN,#001a73,-122.31550117,47.69836361,2022/10/04 00:00:00+00,SF 5000,SF 5000,SF 5000,SF 5000,SF,,530330020002016,2000.2016,2000.2,2,2021_2,2,2022_2,Y,2022/05/17 00:00:00+00,Building Final
-122.373102792,47.5085627130001,48,10514 32ND AVE SW,8263,6645650,,Permit Finaled,Construction Permit,1,0,1,0,50641,DADU,"Accessory Dwelling, Detached","Construct a detached accessory dwelling unit for a single-family residence, per plan.",2018/04/10 00:00:00+00,2019/09/25 00:00:00+00,2019,2020/09/02 00:00:00+00,2020,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,1.1,Arbor Heights,Southwest,1,12000.2001,12000.2,530330120002001,ACC,1259889.42,189315.63,207340,DV0094961,6645650-CN,#001a73,-122.37311738,47.50856852,2021/03/25 00:00:00+00,NONE,UNKNOWN,UNKNOWN,UNKNOWN,UNK,,530330120002000,12000.2000,12000.2,3,2019_3,3,2020_3,N,2020/09/02 00:00:00+00,Building Final
-122.358405843,47.7064384440001,51,10545 1ST AVE NW,7527,6765075,,Permit Finaled,Construction Permit,1,0,1,0,40000,DADU,"Accessory Dwelling, Detached","Construct substantial alterations to create detached accessory dwelling unit [DADU] in existing detached garage, per plan.",2020/01/10 00:00:00+00,2020/02/19 00:00:00+00,2020,2020/09/22 00:00:00+00,2020,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,10.1,North Beach/Blue Ridge,Ballard,5,1400.2012,1400.2,530330014002012,ACC,1264951.321,261407.342,35100,DV0041757,6765075-CN,#001a73,-122.35842048,47.70644426,2021/08/19 00:00:00+00,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330014002016,1400.2016,1400.2,1,2020_1,3,2020_3,N,2020/09/22 00:00:00+00,Building Final
-122.360453827,47.706749098,53,10556 3RD AVE NW,7562,6744064,,Permit Finaled,Construction Permit,1,0,1,0,135529,DADU,"Accessory Dwelling, Detached","Construct detached accessory dwelling unit accessory to existing single family residence, per plan.",2019/10/01 00:00:00+00,2020/01/02 00:00:00+00,2020,2020/12/22 00:00:00+00,2020,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,10.1,North Beach/Blue Ridge,Ballard,5,1400.2011,1400.2,530330014002011,ACC,1264449.432,261530.635,35071,DV1188014,6744064-CN,#001a73,-122.36046846,47.70675492,2021/07/02 00:00:00+00,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330014002017,1400.2017,1400.2,1,2020_1,4,2020_4,N,2020/12/22 00:00:00+00,Building Final
-122.327874454,47.6627855610001,55,106 NE 46TH ST,4399,6588433,,Permit Finaled,Construction Permit,1,0,1,0,100000,DADU,"Accessory Dwelling, Detached","Construct additions and alterations to existing detached garage to convert to detached accessory dwelling unit (DADU) accessory to single family residence, per plan.",2017/07/05 00:00:00+00,2018/10/04 00:00:00+00,2018,2020/12/10 00:00:00+00,2020,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,11.2,Wallingford,Lake Union,4,5200.4007,5200.4,530330052004007,ACC,1272157.828,245339.784,84892,DV0087741,6588433-CN,#001a73,-122.32788907,47.66279138,2020/04/04 00:00:00+00,SF 5000,SF 5000,SF 5000,SF 5000,SF,,530330052012006,5201.2006,5201.2,4,2018_4,4,2020_4,N,2020/12/10 00:00:00+00,Building Final
-122.359031707,47.730350462,59,107 NW 140TH ST,6877,6823393,,Permit Finaled,Construction Permit,1,0,1,0,161857,DADU,"Accessory Dwelling, Detached","Construct detached accessory dwelling unit accessory for a single family residence, per plans.",2021/03/29 00:00:00+00,2021/07/28 00:00:00+00,2021,2022/04/18 00:00:00+00,2022,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,9.1000004,Broadview/Bitter Lake,Northwest,5,401.2009,401.2,530330004012009,ACC,1264970.1687,270130.9901,758191,DV1198012,6823393-CN,#001a73,-122.35904634,47.73035628,2023/01/28 00:00:00+00,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330004031011,403.1011,403.1,3,2021_3,2,2022_2,Y,2022/04/18 00:00:00+00,Building Final
-122.314064079,47.707053075,60,10709 14TH AVE NE,7195,6631283,,Permit Finaled,Construction Permit,1,0,1,0,63175,DADU,"Accessory Dwelling, Detached","Construct detached accessory dwelling unit (DADU) to existing single family residence, per plan.",2018/03/27 00:00:00+00,2018/06/11 00:00:00+00,2018,2019/04/02 00:00:00+00,2019,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,8.1000004,Northgate/Maple Leaf,North,5,1200.1009,1200.1,530330012001009,ACC,1275870.991,261418.302,36978,DV0094915,6631283-CN,#001a73,-122.31407871,47.7070589,2019/12/11 00:00:00+00,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330012021008,1202.1008,1202.1,2,2018_2,2,2019_2,N,2019/04/02 00:00:00+00,Building Final
-122.357834699,47.7079366790001,61,10730 1ST AVE NW,7651,6625802,,Permit Finaled,Construction Permit,1,0,1,0,109892,DADU,"Accessory Dwelling, Detached","Construct a detached accessory dwelling unit for an existing single-family residence, per plan",2018/01/23 00:00:00+00,2018/04/10 00:00:00+00,2018,2018/11/13 00:00:00+00,2018,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,10.1,North Beach/Blue Ridge,Ballard,5,1400.2005,1400.2,530330014002005,ACC,1265102.741,261950.955,35002,DV0094509,6625802-CN,#001a73,-122.35784933,47.7079425,2019/10/10 00:00:00+00,SINGLE FAMILY 7200,SF 7200,SF 7200,SF 7200,SF,,530330014002006,1400.2006,1400.2,2,2018_2,4,2018_4,N,2018/11/13 00:00:00+00,Building Final
-122.263886361,47.5040386950001,62,10733 56TH AVE S,14096,6690142,,Permit Finaled,Construction Permit,1,0,1,0,101280,DADU,"Accessory Dwelling, Detached","Construct detached accessory dwelling unit (DADU) - and carport addition to existing detached garage -  accessory to existing single-family residence, per plan.",2019/03/18 00:00:00+00,2019/08/28 00:00:00+00,2019,2020/10/02 00:00:00+00,2020,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,4.0999999,Rainier Beach,Southeast,2,11900.5010,11900.5,530330119005010,ACC,1286846.46,187144.82,210904,DV1185652,6690142-CN,#001a73,-122.26390093,47.50404451,2021/02/28 00:00:00+00,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330119012006,11901.2006,11901.2,3,2019_3,4,2020_4,N,2020/10/02 00:00:00+00,Building Final
-122.358748472,47.7143618100001,66,108 NW 117TH ST,7683,6783841,,Permit Finaled,Construction Permit,1,0,1,0,121737,DADU,"Accessory Dwelling, Detached","Construct detached accessory dwelling unit for a single family residence, per plan.",2020/06/16 00:00:00+00,2020/10/09 00:00:00+00,2020,2021/03/17 00:00:00+00,2021,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,9.1000004,Broadview/Bitter Lake,Northwest,5,402.3007,402.3,530330004023007,ACC,1264924.263,264298.625,30350,DV0087865,6783841-CN,#001a73,-122.35876311,47.71436763,2022/04/09 00:00:00+00,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330004023006,402.3006,402.3,4,2020_4,1,2021_1,N,2021/03/17 00:00:00+00,Building Final
-122.292569325,47.619671838,70,125 31ST AVE E,4396,6754326,,Permit Finaled,Construction Permit,1,0,1,0,150000,DADU,"Accessory Dwelling, Detached","Construct a detached accessory dwelling unit (DADU), per plans",2019/12/11 00:00:00+00,2020/01/16 00:00:00+00,2020,2021/07/05 00:00:00+00,2021,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,5.3000002,Central Area/Squire Park,Central,3,7700.1017,7700.1,530330077001017,ACC,1280557.866,229449.263,132879,DV0027681,6754326-CN,#001a73,-122.29258393,47.61967766,2021/07/16 00:00:00+00,SF 5000,SF 5000,SF 5000,SF 5000,SF,,530330077001015,7700.1015,7700.1,1,2020_1,3,2021_3,N,2021/07/05 00:00:00+00,Building Final
-122.366601042,47.7198735740001,73,12505 8TH AVE NW,6268,6694342,3031646,Permit Finaled,Construction Permit,1,0,1,0,598995,DADU,"Accessory Dwelling, Detached","Establish use and Construct single-family residence and associated detached accessory dwelling unit [DADU], per plan.",2019/09/12 00:00:00+00,2020/06/05 00:00:00+00,2020,2021/07/06 00:00:00+00,2021,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,9.1000004,Broadview/Bitter Lake,Northwest,5,500.3000,500.3,530330005003000,ACC,1263031.6036,266347.1473,743545,DV0335398,6694342-CN,#001a73,-122.36661568,47.71987939,2021/12/05 00:00:00+00,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330005001022,500.1022,500.1,2,2020_2,3,2021_3,Y,2021/07/06 00:00:00+00,Building Final
-122.3272527,47.719938617,74,12512 2ND AVE NE,7699,6764132,,Permit Finaled,Construction Permit,1,0,1,0,59101,DADU,"Accessory Dwelling, Detached","Construct detached accessory dwelling unit [DADU] for a single-family residence, per plan.",2020/04/27 00:00:00+00,2020/05/29 00:00:00+00,2020,2020/10/27 00:00:00+00,2020,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,9.5,Haller Lake,Northwest,5,600.5004,600.5,530330006005004,ACC,1272715.687,266180.385,27489,DV1153643,6764132-CN,#001a73,-122.32726733,47.71994444,2021/11/29 00:00:00+00,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330006012008,601.2008,601.2,2,2020_2,4,2020_4,N,2020/10/27 00:00:00+00,Building Final
-122.299445022,47.7214280210001,81,12709 27TH AVE NE,8422,6750647,,Permit Finaled,Construction Permit,1,0,1,0,138582,DADU,"Accessory Dwelling, Detached","Construct new detached accessory dwelling unit (DADU), per plan.",2019/12/20 00:00:00+00,2020/01/28 00:00:00+00,2020,2020/10/30 00:00:00+00,2020,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,8.1999998,Olympic Hills/Victory Heights,North,5,200.2011,200.2,530330002002011,ACC,1279569.553,266591.942,29004,DV0054910,6750647-CN,#001a73,-122.29945965,47.72143385,2021/07/28 00:00:00+00,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330002022010,202.2010,202.2,1,2020_1,4,2020_4,N,2020/10/30 00:00:00+00,Building Final
-122.362047125,47.633208257,85,1528 4TH AVE W,4829,6598281,,Permit Finaled,Construction Permit,1,0,1,0,50000,DADU,"Accessory Dwelling, Detached","Construct alterations to an existing detached garage for a detached accessory dwelling unit (DADU), per plans",2017/10/09 00:00:00+00,2018/08/28 00:00:00+00,2018,2021/04/01 00:00:00+00,2021,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,12.3,Queen Anne,Magnolia/Queen Anne,7,6800.2022,6800.2,530330068002022,ACC,1263524.387,234718.525,119466,DV0085921,6598281-CN,#001a73,-122.36206174,47.63321407,2020/02/28 00:00:00+00,SF 5000,SF 5000,SF 5000,SF 5000,SF,,530330068002017,6800.2017,6800.2,3,2018_3,2,2021_2,N,2021/04/01 00:00:00+00,Building Final
-122.310901539,47.695617418,89,1529 NE 92ND ST,7127,6619247,,Permit Finaled,Construction Permit,1,0,1,0,101283,DADU,"Accessory Dwelling, Detached","Construct a detached accessory dwelling unit for a single-family residence, per plan.
",2018/03/21 00:00:00+00,2018/08/03 00:00:00+00,2018,2020/07/09 00:00:00+00,2020,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,8.1000004,Northgate/Maple Leaf,North,5,2000.3005,2000.3,530330020003005,ACC,1276569.406,257232.763,51842,DV0094544,6619247-CN,#001a73,-122.31091616,47.69562324,2021/08/03 00:00:00+00,SF 5000,SF 5000,SF 5000,SF 5000,SF,,530330020003005,2000.3005,2000.3,3,2018_3,3,2020_3,N,2020/07/09 00:00:00+00,Building Final
-122.383488579,47.5896473240001,96,1540 PALM AVE SW,4427,6789116,,Permit Finaled,Construction Permit,1,0,1,0,150000,DADU,"Accessory Dwelling, Detached","Construct alterations to duplex and create an attached accessory dwelling unit (AADU) to existing single-family residence, per plan.",2020/11/14 00:00:00+00,2021/01/13 00:00:00+00,2021,2022/02/15 00:00:00+00,2022,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,1.4,Alki/Admiral,Southwest,1,9600.5016,9600.5,530330096005016,ACC,1257918.832,218937.981,149459,DV0065577,6789116-CN,#001a73,-122.38350319,47.58965313,2022/07/13 00:00:00+00,SF 5000,SF 5000,SF 5000,SF 5000,SF,,530330096002007,9600.2007,9600.2,1,2021_1,1,2022_1,N,2022/02/15 00:00:00+00,Building Final
-122.290081459,47.582074855,106,2313 34TH AVE S,5003,6157198,,Permit Finaled,Construction Permit,1,0,1,0,37016,DADU,"Accessory Dwelling, Detached",Construct detatched accessory structures per plan.,2007/12/05 00:00:00+00,2008/02/20 00:00:00+00,2008,2009/08/14 00:00:00+00,2009,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,4.4000001,Mt. Baker/North Rainier,Southeast,3,9500.1072,9500.1,530330095001072,ACC,1280911.735,215726.028,154577,DV0072969,6157198-CN,#001a73,-122.29009605,47.58208067,2009/08/20 00:00:00+00,SINGLE FAMILY 5000,SF 5000,SF 5000,SF 5000,SF,,530330095001027,9500.1027,9500.1,1,2008_1,3,2009_3,N,2009/08/14 00:00:00+00,Building Final
-122.359190004,47.7091903150001,113,11012 2ND AVE NW,7573,6676341,,Permit Finaled,Construction Permit,1,0,1,0,58582,DADU,"Accessory Dwelling, Detached","Construct additions and alterations to existing detached garage to add upper level detached accessory dwelling unit (DADU) accessory to single family residence, per plan.",2018/12/24 00:00:00+00,2019/07/11 00:00:00+00,2019,2021/08/04 00:00:00+00,2021,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,10.1,North Beach/Blue Ridge,Ballard,5,1400.1015,1400.1,530330014001015,ACC,1264778.191,262414.762,34912,DV1128218,6676341-CN,#001a73,-122.35920464,47.70919613,2022/07/11 00:00:00+00,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330014001016,1400.1016,1400.1,3,2019_3,3,2021_3,N,2021/08/04 00:00:00+00,Site Final
-122.317617344,47.6457860030001,122,1114 E HAMLIN ST,4401,6757698,,Permit Finaled,Construction Permit,1,0,1,0,77380,DADU,"Accessory Dwelling, Detached","Construct substantial alterations to existing detached garage to create a detached accessory dwelling unit (DADU) for a single-family residence, per plan.",2021/03/05 00:00:00+00,2021/05/13 00:00:00+00,2021,2022/04/13 00:00:00+00,2022,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,7.0999999,Montlake/Portage Bay,Northeast,3,6100.1021,6100.1,530330061001021,ACC,1274565.3022,239091.168,762523,DV0088837,6757698-CN,#001a73,-122.31763196,47.64579182,2022/11/13 00:00:00+00,NR3,,,,,,530330061001007,6100.1007,6100.1,2,2021_2,2,2022_2,N,2022/04/13 00:00:00+00,Building Final
